施設名,住所,延床面積,建築年度,用途,管理者,出典ファイル,用途地域リンク
加美駅自転車駐車場管理事務所,大阪市平野区加美東4-8,3.89,1991,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.566742&mpy=34.627323&gprj=3
地下鉄平野駅自転車駐車場管理事務所,大阪市平野区背戸口5-3,12.56,1990,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.548431&mpy=34.622223&gprj=3
出戸駅自転車駐車場管理事務所,大阪市平野区喜連東5-16,12.96,1996,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.566055&mpy=34.610313&gprj=3
長原駅自転車駐車場管理事務所,大阪市平野区長吉長原東2-2,13.50,2013,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.574493&mpy=34.602314&gprj=3
JR平野駅自転車駐車場西管理ボックス,大阪市平野区平野元町9,1.44,1991,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.550949&mpy=34.631161&gprj=3
JR平野駅自転車駐車場南管理ボックス,大阪市平野区平野宮町1-7,12.96,1996,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.554169&mpy=34.630054&gprj=3
加美駅自転車駐車場管理ボックス,大阪市平野区加美鞍作1-7,3.89,1991,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.567062&mpy=34.625996&gprj=3
喜連瓜破駅自転車駐車場管理ボックス,大阪市平野区喜連2-5,1.44,1995,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.549881&mpy=34.611332&gprj=3
出戸駅自転車駐車場管理ボックス,大阪市平野区喜連東5-13,12.96,1996,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.565018&mpy=34.61002&gprj=3
地下鉄平野駅自転車駐車場管理ボックス,大阪市平野区流町1-2,3.89,1990,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,23_hirano_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.549683&mpy=34.620396&gprj=3
