施設名,住所,延床面積,建築年度,用途,管理者,出典ファイル,用途地域リンク
西区老人福祉センター,大阪市西区本田3-7-2,727.24,1980,社会福祉・保健施設老人福祉施設／老人福祉センター,指定管理（無料施設）福祉局 高齢者施策部 高齢福祉課,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.474243&mpy=34.677692&gprj=3
大阪市シルバー人材センター西部支部事務所,大阪市西区立売堀4-10-18,204.73,1991,社会福祉・保健施設老人福祉施設／その他老人福祉施設シルバー人材センター,無償貸付 福祉局 高齢者施策部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.487747&mpy=34.68092&gprj=3
地域生活支援センターふらっとめいじ,大阪市西区立売堀1-12-8,172.08,1981,社会福祉・保健施設障がい者福祉施設／障がい福祉サービス事業所（普通）,無償貸付 福祉局 障がい者施策部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.493591&mpy=34.67989&gprj=3
梅本保育所,大阪市西区本田1-4-50,557.95,1975,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.481537&mpy=34.678596&gprj=3
うつぼほんまち保育園,大阪市西区靭本町1-19-13,338.21,1982,社会福祉・保健施設児童福祉施設／保育園,有償貸付 こども青少年局 幼保施策部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.494034&mpy=34.683716&gprj=3
もと西勤労青少年ホーム（西区子ども・子育てプラザ）,大阪市西区本田3-7-2,656.89,1980,社会福祉・保健施設児童福祉施設／子ども・子育てプラザ,全部委託 こども青少年局 子育て支援部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.474243&mpy=34.677692&gprj=3
児童院,大阪市西区立売堀4-10-18,"3,267.60",1991,社会福祉・保健施設児童福祉施設／その他児童福祉施設児童心理治療施設,指定管理（その他）こども青少年局 子育て支援部 こども家庭課,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.487747&mpy=34.68092&gprj=3
野宿生活者巡回相談事業用事務室,大阪市西区立売堀4-10-18,366.61,1991,社会福祉・保健施設その他社会福祉施設その他社会福祉施設その他社会福祉施設,全部委託 福祉局 生活福祉部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.487747&mpy=34.68092&gprj=3
中央急病診療所,大阪市西区新町4-10-13,"3,184.01",2002,社会福祉・保健施設保健関係施設／診療所,全部委託 健康局 健康推進部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.485123&mpy=34.676044&gprj=3
西区役所,大阪市西区新町4-5-14,"9,003.40",1997,庁舎・事務所／区役所,直営（一部委託） 西区役所,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.485992&mpy=34.676029&gprj=3
デジタル統括室分室,大阪市西区立売堀4-10-18,"3,565.19",1991,庁舎・事務所／その他庁舎,直営（一部委託） デジタル統括室,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.487747&mpy=34.68092&gprj=3
河川事務所,大阪市西区新町4-20-3,299.48,1975,庁舎・事務所／その他環境関連事務所・営業所,直営 環境局 事業部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.483353&mpy=34.677856&gprj=3
河川・渡船管理事務所,大阪市西区南堀江4-33-27,343.07,2001,庁舎・事務所／河川・渡船管理事務所,直営 建設局 西部方面管理事務所,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.480774&mpy=34.668991&gprj=3
大阪市人権啓発・相談センター,大阪市西区立売堀4-10-18,293.83,1991,庁舎・事務所／その他事務所・営業所,直営 市民局 ﾀﾞｲﾊﾞｰｼﾃｨ推進室,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.487747&mpy=34.68092&gprj=3
緊急入院保護業務センター,大阪市西区立売堀4-10-18,744.29,1991,庁舎・事務所／その他事務所・営業所,直営 福祉局 生活福祉部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.487747&mpy=34.68092&gprj=3
消防局庁舎,大阪市西区九条南1-12-54,"17,613.59",2007,庁舎・事務所／消防局庁舎・消防署消防局庁舎,直営 消防局 総務部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.473999&mpy=34.670341&gprj=3
消防局庁舎（九条）,大阪市西区九条南1-4-15,770.12,2001,庁舎・事務所／消防局庁舎・消防署消防局庁舎,直営 消防局 総務部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.475113&mpy=34.67178&gprj=3
西消防署新町出張所,大阪市西区新町1-6-12,824.57,2008,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.496063&mpy=34.675983&gprj=3
西消防署江戸堀出張所,大阪市西区江戸堀1-24-18,"2,462.44",1996,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.492615&mpy=34.689163&gprj=3
南堀江災害待機宿舎,大阪市西区××××××××,34.81,－,庁舎・事務所／災害待機宿舎,直営 消防局 総務部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.486115&mpy=34.676388&gprj=3
九条南災害待機宿舎-１,大阪市西区××××××××,47.71,－,庁舎・事務所／災害待機宿舎,直営 消防局 総務部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.486115&mpy=34.676388&gprj=3
九条南災害待機宿舎-２,大阪市西区××××××××,47.71,－,庁舎・事務所／災害待機宿舎,直営 消防局 総務部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.486115&mpy=34.676388&gprj=3
九条南災害待機宿舎-３,大阪市西区××××××××,40.79,－,庁舎・事務所／災害待機宿舎,直営 消防局 総務部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.486115&mpy=34.676388&gprj=3
九条東連合地域集会所,大阪市西区九条1-11-19,184.35,1999,一般会計その他施設地域利用施設／地域集会施設,無償貸付 西区役所,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.476669&mpy=34.67519&gprj=3
千代崎会館,大阪市西区千代崎2-16-15,120.97,1983,一般会計その他施設地域利用施設／地域集会施設,無償貸付 西区役所,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.478867&mpy=34.673279&gprj=3
日吉集会所,大阪市西区南堀江4-22-8,213.45,1992,一般会計その他施設地域利用施設／地域集会施設,無償貸付 西区役所,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.482773&mpy=34.672516&gprj=3
本田連合会館,大阪市西区本田3-5-14,107.75,1984,一般会計その他施設地域利用施設／地域集会施設,無償貸付 西区役所,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.474976&mpy=34.677757&gprj=3
九条東老人憩の家,大阪市西区九条1-11-19,194.90,1999,一般会計その他施設地域利用施設／地域集会施設,無償貸付 西区役所,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.476669&mpy=34.67519&gprj=3
日吉老人憩の家,大阪市西区南堀江4-22-8,214.67,1992,一般会計その他施設地域利用施設／地域集会施設,無償貸付 西区役所,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.482773&mpy=34.672516&gprj=3
本田老人憩の家,大阪市西区本田3-5-14,107.86,1984,一般会計その他施設地域利用施設／地域集会施設,無償貸付 西区役所,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.474976&mpy=34.677757&gprj=3
災害対策用職員住宅,大阪市西区××××××××,29.49,－,一般会計その他施設一般会計その他施設職員住宅・宿舎／災害対策用職員住宅,その他 危機管理室,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.526688&mpy=34.622059&gprj=3
阿波座駅自転車駐車場管理事務所,大阪市西区立売堀4-11,9.72,2011,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.48703&mpy=34.680843&gprj=3
西大橋駅自転車駐車場管理事務所,大阪市西区新町2-1-15,9.72,2011,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.492676&mpy=34.67868&gprj=3
九条駅自転車駐車場管理事務所,大阪市西区九条2-4,12.96,1992,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.473572&mpy=34.675892&gprj=3
西長堀駅自転車駐車場管理事務所,大阪市西区新町4-4,12.58,1998,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.487015&mpy=34.676216&gprj=3
西長堀駅自転車駐車場管理ボックス,大阪市西区北堀江4-4,4.76,1998,インフラ関係施設／自転車駐車場管理事務所,指定管理（利用料金施設）建設局 総務部 管理課,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.486221&mpy=34.67318&gprj=3
靱テニスセンター,大阪市西区靭本町1-9外,29.16,2006,インフラ関係施設／公園付帯施設,直営 経済戦略局 ｽﾎﾟｰﾂ部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.494751&mpy=34.686199&gprj=3
九条北公園,大阪市西区九条南4-19,18.00,1994,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.467514&mpy=34.675777&gprj=3
松島公園,大阪市西区千代崎1-3外,414.15,1963,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.48053&mpy=34.676197&gprj=3
靱公園,大阪市西区靱本町1-9外,565.69,1996,インフラ関係施設／公園付帯施設,指定管理（無料施設）建設局 公園緑化部 公園課,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.494751&mpy=34.686199&gprj=3
島津公園,大阪市西区立売堀5-4,6.17,1993,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.485764&mpy=34.679501&gprj=3
日吉公園,大阪市西区南堀江4-9,19.20,2003,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.483734&mpy=34.671112&gprj=3
九条東公園,大阪市西区九条2-19,6.17,1991,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.471848&mpy=34.675613&gprj=3
花乃井公園,大阪市西区京町堀2-11,26.16,1991,インフラ関係施設／公園付帯施設,直営 建設局 公園緑化部,06_nishi_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.489517&mpy=34.685612&gprj=3
港図書館,大阪市港区磯路1-7-17,"1,420.93",2024,教育・文化・スポーツ施設図書館／地域図書館,直営（一部委託） 教育委員会事務局中央図書館 総務担当,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461746&mpy=34.668053&gprj=3
港区民センター,大阪市港区磯路1-7-17,"5,319.43",2024,教育・文化・スポーツ施設会館・ホール／区役所附設会館,指定管理（利用料金施設）港区役所 協働まちづくり推進課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461746&mpy=34.668053&gprj=3
港近隣センター,大阪市港区八幡屋1-4-20,739.41,1975,教育・文化・スポーツ施設会館・ホール／区役所附設会館,指定管理（利用料金施設）港区役所 協働まちづくり推進課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.448196&mpy=34.656528&gprj=3
築港地区活性化事業施設,大阪市港区海岸通1-5-10,"10,737.41",1994,文化施設,有償貸付 経済戦略局 文化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.429794&mpy=34.654255&gprj=3
中央体育館,大阪市港区田中3-1-40,"38,425.00",1996,教育・文化・スポーツ施設スポーツ施設／体育館,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.446579&mpy=34.659058&gprj=3
港スポーツセンター,大阪市港区田中3-1-128,"3,794.33",1995,教育・文化・スポーツ施設スポーツ施設／スポーツセンター,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.445465&mpy=34.662113&gprj=3
大阪プール,大阪市港区田中3-1-20,"25,137.93",1996,教育・文化・スポーツ施設スポーツ施設／屋内プール,指定管理（利用料金施設）経済戦略局 ｽﾎﾟｰﾂ部 ｽﾎﾟｰﾂ課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.448059&mpy=34.660309&gprj=3
三先幼稚園,大阪市港区三先1-6-37,"1,230.50",1970,教育・文化・スポーツ施設幼稚園／幼稚園,直営 こども青少年局 幼保施策部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.455612&mpy=34.660461&gprj=3
港区老人福祉センター,大阪市港区磯路1-7-17,533.41,2024,社会福祉・保健施設老人福祉施設／老人福祉センター,指定管理（無料施設）福祉局 高齢者施策部 高齢福祉課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461746&mpy=34.668053&gprj=3
磯路保育所,大阪市港区磯路2-11-8,404.60,1973,社会福祉・保健施設児童福祉施設／公立保育所（公設置公営）,直営 こども青少年局 幼保施策部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.46051&mpy=34.664581&gprj=3
田中保育所,大阪市港区田中1-11-1,401.94,1974,社会福祉・保健施設児童福祉施設／公立保育所（公設置民営）,全部委託 こども青少年局 幼保施策部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.449707&mpy=34.6656&gprj=3
八幡屋保育所,大阪市港区八幡屋3-11-6,546.26,1975,社会福祉・保健施設児童福祉施設／公立保育所（公設置民営）,全部委託 こども青少年局 幼保施策部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.445267&mpy=34.654324&gprj=3
安治川保育園,大阪市港区波除1-6-6,484.48,1978,社会福祉・保健施設児童福祉施設／保育園,有償貸付 こども青少年局 幼保施策部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.462585&mpy=34.675053&gprj=3
築港保育園,大阪市港区築港1-12-8,405.46,1973,社会福祉・保健施設児童福祉施設／保育園,有償貸付 こども青少年局 幼保施策部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.435242&mpy=34.652351&gprj=3
港区子ども・子育てプラザ,大阪市港区磯路1-7-17,807.41,2024,社会福祉・保健施設児童福祉施設／子ども・子育てプラザ,全部委託 港区役所,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461746&mpy=34.668053&gprj=3
児童養護施設入舟寮,大阪市港区池島3-7-18,"2,014.91",1981,社会福祉・保健施設児童福祉施設／その他児童福祉施設児童養護施設,無償貸付 こども青少年局 子育て支援部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.448288&mpy=34.654758&gprj=3
第２港晴寮(救護施設こうせいみなと）,大阪市港区田中3-1-130,"2,470.67",1995,社会福祉・保健施設その他社会福祉施設保護施設／保護施設,有償貸付 福祉局 生活福祉部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.445572&mpy=34.662258&gprj=3
西部生活衛生監視事務所,大阪市港区市岡1-15-25,313.64,－,社会福祉・保健施設保健関係施設／生活衛生監視事務所,直営 健康局 生活衛生部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.460693&mpy=34.664059&gprj=3
港区役所,大阪市港区市岡1-15-25,"9,106.83",1997,庁舎・事務所／区役所,直営（一部委託） 港区役所,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.460693&mpy=34.664059&gprj=3
弁天町市税事務所,大阪市港区弁天1-2-2,"1,670.10",－,庁舎・事務所／市税事務所,直営 財政局 税務部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.461472&mpy=34.669098&gprj=3
市岡工営所,大阪市港区市岡2-15-74,"4,909.23",2001,庁舎・事務所／工営所,直営 建設局 西部方面管理事務所管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.458099&mpy=34.661224&gprj=3
八幡屋公園事務所,大阪市港区田中3-1,324.00,1993,庁舎・事務所／公園事務所,直営 建設局 公園緑化部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.444778&mpy=34.659412&gprj=3
計量検査所,大阪市港区田中3-1-126,"1,239.37",1995,庁舎・事務所／計量検査所,直営 経済戦略局 産業振興部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.445358&mpy=34.661949&gprj=3
2突基地,大阪市港区海岸通3-4-28,"5,393.69",1991,庁舎・事務所／その他事務所・営業所,直営 大阪港湾局 総務部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.444138&mpy=34.649082&gprj=3
港区準監視局,大阪市港区海岸通3-4-28,118.56,1977,庁舎・事務所／その他事務所・営業所,直営 大阪港湾局 総務部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.444138&mpy=34.649082&gprj=3
港消防署,大阪市港区弁天1-4-1,"1,983.15",1993,庁舎・事務所／消防局庁舎・消防署消防署,直営 消防局 総務部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.460022&mpy=34.66803&gprj=3
水上消防署,大阪市港区築港3-1-47,"4,177.68",1999,庁舎・事務所／消防局庁舎・消防署消防署,直営 消防局 総務部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.433273&mpy=34.656982&gprj=3
港消防署田中出張所,大阪市港区田中2-14-11,701.27,1999,庁舎・事務所／消防局庁舎・消防署消防出張所,直営 消防局 総務部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.44928&mpy=34.662228&gprj=3
南市岡会館,大阪市港区南市岡2-7-18,96.22,1976,一般会計その他施設地域利用施設／地域集会施設,無償貸付 港区役所,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.468063&mpy=34.665909&gprj=3
南市岡老人憩の家,大阪市港区南市岡2-7-18,101.22,1976,一般会計その他施設地域利用施設／地域集会施設,無償貸付 港区役所,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.468063&mpy=34.665909&gprj=3
もと波除老人憩の家,大阪市港区波除2-2-27,105.34,1978,一般会計その他施設地域利用施設／地域集会施設,ー 港区役所,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.464172&mpy=34.672634&gprj=3
港地盤沈下・地下水位観測所,大阪市港区田中3-1-14,40.00,1986,一般会計その他施設一般会計その他施設測定局・観測局／地盤沈下・地下水位観測所,直営 環境局 環境管理部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.448364&mpy=34.660786&gprj=3
天保山地下水位観測所,大阪市港区築港4-4-15,10.90,1961,一般会計その他施設一般会計その他施設測定局・観測局／地盤沈下・地下水位観測所,直営 環境局 環境管理部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.431488&mpy=34.65556&gprj=3
建設局市岡倉庫,大阪市港区市岡4-4-8,136.08,1997,一般会計その他施設一般会計その他施設倉庫／その他倉庫,直営 建設局 総務部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.463882&mpy=34.659851&gprj=3
市岡工営所管理地（整備中）,大阪市港区海岸通4-4,19.61,1998,一般会計その他施設一般会計その他施設倉庫／その他倉庫,直営 建設局 西部方面管理事務所管理課,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.448059&mpy=34.646976&gprj=3
弁天町公衆トイレ,大阪市港区波除3-11,14.93,2014,一般会計その他施設一般会計その他施設休憩所・トイレ／休憩所・トイレ,直営（一部委託） 環境局 事業部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.462173&mpy=34.670193&gprj=3
大阪港湾労働者福祉センター,大阪市港区港晴2-14-25,"2,579.71",1967,一般会計その他施設一般会計その他施設休憩所・トイレ／休憩所・トイレ,無償貸付 大阪港湾局 計画整備部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.4431&mpy=34.653534&gprj=3
第3突堤港湾労働者便所,大阪市港区海岸通4-5,7.14,1999,一般会計その他施設一般会計その他施設休憩所・トイレ／休憩所・トイレ,直営（一部委託） 大阪港湾局 計画整備部,07_minato_l.pdf,https://www.mapnavi.city.osaka.lg.jp/osakacity/Map?mid=51&ShowFidOnly=1&mps=10000&mtp=dm28&mpx=135.443344&mpy=34.645596&gprj=3
