未利用地登録年度,番号,所在（区）,町丁目,地番,街区番号,面積（㎡）,土地所管局,財産名称,現状,活用方針,分類基準,処分目途,貸付等の活用状況,備考,マップナビおおさかへのリンク,住居表示,緯度,経度,ジオコード精度
2006,596,住之江区,平林南２丁目,11‐19,11番,852,都市整備局（区画整理）,もと区画整理事業用地（南部工区・住之江）,駐車場,事業予定地,基準９,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=160,大阪府大阪市住之江区平林南２丁目11番,34.611313,135.449463,街区番号
2006,593,住之江区,平林南２丁目,8‐15,8番,165,都市整備局（区画整理）,区画整理事業用地（南部工区・住之江）,空地,処分検討地,基準２,B,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=157,大阪府大阪市住之江区平林南２丁目8番,34.610409,135.455719,街区番号
2006,601,住之江区,御崎７丁目,123‐13,14番,149,市民局,もと浪速地区公共施設建設代替地,空地,継続保有地,基準５,,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=161,大阪府大阪市住之江区御崎７丁目14番,34.603016,135.482513,街区番号
2006,604,住吉区,浅香１丁目,135‐14外,5番,196,都市整備局（住環境整備課）,浅香第２住宅地区改良事業用地,空地,処分検討地,基準２,A,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=100,大阪府大阪市住吉区浅香１丁目5番,34.590237,135.509613,街区番号
2006,602,住吉区,浅香１丁目,42‐1外,5番,238,都市整備局（住環境整備課）,浅香南住宅,空地,処分検討地,基準２,A,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=99,大阪府大阪市住吉区浅香１丁目5番,34.590237,135.509613,街区番号
2006,607,住吉区,浅香２丁目,23‐7外内,3番,2291,建設局,浅香西公園,空地,事業予定地,基準７,,貸付不可,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=102,大阪府大阪市住吉区浅香２丁目3番,34.588989,135.506622,街区番号
2006,608,住吉区,我孫子１丁目,61‐1,3番,481,都市整備局,我孫子東第6住宅,コミュニティ広場/地域集会所,事業予定地,基準７,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=107,大阪府大阪市住吉区我孫子１丁目3番,34.605343,135.510345,街区番号
2006,610,住吉区,我孫子２丁目,71,3番,1295,都市整備局,我孫子東第7住宅,コミュニティ広場,事業予定地,基準７,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=89,大阪府大阪市住吉区我孫子２丁目3番,34.602367,135.510223,街区番号
2006,613,住吉区,苅田９丁目,100,15番,762,都市整備局,苅田住宅,駐車場,事業予定地,基準７,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=90,大阪府大阪市住吉区苅田９丁目15番,34.597351,135.513016,街区番号
2006,614,住吉区,苅田１０丁目,12‐3外,2番,2651,建設局,大和川公園,広場,事業予定地,基準７,,活用中,,http://www.mapnavi.city.osaka.lg.jp/osakacity/ApiDetail/LinkToMap?mid=70&mtl=70000&fldno=15&fid=91,大阪府大阪市住吉区苅田１０丁目2番,34.593685,135.514709,街区番号
